类型,根函数名,函数名,非独占样本,独占样本,非独占样本 %,独占样本 %,
"Callee","[mshtml.dll]","[msvcrt.dll]",14,10,0.83,0.59,
"Callee","[mshtml.dll]","[ntdll.dll]",16,7,0.95,0.41,
"Callee","[mshtml.dll]","[oleaut32.dll]",2,1,0.12,0.06,
"Callee","[mshtml.dll]","[shlwapi.dll]",1,1,0.06,0.06,
"Callee","[mshtml.dll]","[t2embed.dll]",2,0,0.12,0.00,
"Callee","[mshtml.dll]","[urlmon.dll]",3,0,0.18,0.00,
"Callee","[mshtml.dll]","[user32.dll]",76,6,4.49,0.35,
"Callee","[mshtml.dll]","[win32u.dll]",72,2,4.26,0.12,
"Callee","[mshtml.dll]","[WindowsCodecs.dll]",1,0,0.06,0.00,
"Callee","[mshtml.dll]","[wininet.dll]",1,0,0.06,0.00,
"Root","[msvcrt.dll]","[msvcrt.dll]",58,19,3.43,1.12,
"Caller","[msvcrt.dll]","[d2d1.dll]",3,1,0.18,0.06,
"Caller","[msvcrt.dll]","[jscript9.dll]",5,3,0.30,0.18,
"Caller","[msvcrt.dll]","[kernel32.dll]",37,0,2.19,0.00,
"Caller","[msvcrt.dll]","[mshtml.dll]",14,10,0.83,0.59,
"Caller","[msvcrt.dll]","[msvcrt.dll]",40,4,2.37,0.24,
"Caller","[msvcrt.dll]","[ntdll.dll]",1,1,0.06,0.06,
"Caller","[msvcrt.dll]","[WindowsCodecs.dll]",1,0,0.06,0.00,
"Callee","[msvcrt.dll]","[jscript9.dll]",17,0,1.01,0.00,
"Callee","[msvcrt.dll]","[mshtml.dll]",13,0,0.77,0.00,
"Callee","[msvcrt.dll]","[msvcrt.dll]",40,4,2.37,0.24,
"Callee","[msvcrt.dll]","[ntdll.dll]",5,1,0.30,0.06,
"Callee","[msvcrt.dll]","[wisp.dll]",7,0,0.41,0.00,
"Root","[ntdll.dll]","[ntdll.dll]",764,172,45.18,10.17,
"Caller","[ntdll.dll]","[ntdll.dll]",743,2,43.94,0.12,
"Caller","[ntdll.dll]","[ntdll.dll]",221,0,13.07,0.00,
"Caller","[ntdll.dll]","[win32u.dll]",464,0,27.44,0.00,
"Caller","[ntdll.dll]","[wow64.dll]",164,163,9.70,9.64,
"Caller","[ntdll.dll]","[wow64cpu.dll]",6,3,0.35,0.18,
